"","counter","AS","Type","GranularityValue","SeverityScore","PageRank","NumBadDep","TotalDep","NumberOfVerteces","NumOfCycle","NumSetOfElement","TotNumOfSetOfElement","ADI","project","version","arcan.version","commit.hash"
"88",7,60710,"cd",2,4,12.8270880722209,0,0,3,1,3,9,6,"outjabm",8,"4","8b29f1af211c13bfbad5e578d231ae7e51e08a2b.csv"
"89",8,60718,"cd",2,8,22.4292956242907,0,0,5,1,5,9,6,"outjabm",8,"4","8b29f1af211c13bfbad5e578d231ae7e51e08a2b.csv"
"90",9,60728,"cd",2,2,8.03905083073397,0,0,2,1,2,9,6,"outjabm",8,"4","8b29f1af211c13bfbad5e578d231ae7e51e08a2b.csv"
"91",10,60735,"cd",2,9,21.6676257363684,0,0,6,1,6,9,6,"outjabm",8,"4","8b29f1af211c13bfbad5e578d231ae7e51e08a2b.csv"
"92",11,60746,"cd",2,6,18.6928932664576,0,0,4,1,4,9,6,"outjabm",8,"4","8b29f1af211c13bfbad5e578d231ae7e51e08a2b.csv"
"93",12,60755,"cd",2,10,15.7766892352444,0,0,3,2,3,9,6,"outjabm",8,"4","8b29f1af211c13bfbad5e578d231ae7e51e08a2b.csv"
"94",13,60763,"cd",2,1,7.83264832441908,0,0,2,1,2,9,6,"outjabm",8,"4","8b29f1af211c13bfbad5e578d231ae7e51e08a2b.csv"
"95",14,60770,"cd",2,7,16.3969048692304,0,0,5,1,5,9,6,"outjabm",8,"4","8b29f1af211c13bfbad5e578d231ae7e51e08a2b.csv"
"96",15,60780,"cd",2,5,13.4807008380172,0,0,4,1,4,9,6,"outjabm",8,"4","8b29f1af211c13bfbad5e578d231ae7e51e08a2b.csv"
"97",1,81701,"ud",2,2,10.8488437019492,2,0,0,0,3,9,7,"outjabm",9,"5","30bbbcd7d508a99bcdc6eed323777b0a218c5764.csv"
"98",2,81713,"ud",2,1,7.90091027106588,2,0,0,0,3,9,7,"outjabm",9,"5","30bbbcd7d508a99bcdc6eed323777b0a218c5764.csv"
"99",3,81722,"ud",2,4,5.5549175758657,1,0,0,0,2,9,7,"outjabm",9,"5","30bbbcd7d508a99bcdc6eed323777b0a218c5764.csv"
"100",4,81731,"ud",2,3,4.64354685781075,1,0,0,0,2,9,7,"outjabm",9,"5","30bbbcd7d508a99bcdc6eed323777b0a218c5764.csv"
"101",5,81740,"ud",2,5,10.7123708744212,2,0,0,0,3,9,7,"outjabm",9,"5","30bbbcd7d508a99bcdc6eed323777b0a218c5764.csv"
"102",6,81571,"cd",2,3,8.19363112051821,0,0,2,1,2,9,7,"outjabm",9,"5","30bbbcd7d508a99bcdc6eed323777b0a218c5764.csv"
"103",7,81578,"cd",2,4,12.8270880722209,0,0,3,1,3,9,7,"outjabm",9,"5","30bbbcd7d508a99bcdc6eed323777b0a218c5764.csv"
"104",8,81586,"cd",2,8,22.4292956242907,0,0,5,1,5,9,7,"outjabm",9,"5","30bbbcd7d508a99bcdc6eed323777b0a218c5764.csv"
"105",9,81596,"cd",2,2,8.03905083073397,0,0,2,1,2,9,7,"outjabm",9,"5","30bbbcd7d508a99bcdc6eed323777b0a218c5764.csv"
"106",10,81603,"cd",2,9,21.6676257363684,0,0,6,1,6,9,7,"outjabm",9,"5","30bbbcd7d508a99bcdc6eed323777b0a218c5764.csv"
"107",11,81614,"cd",2,6,18.6928932664576,0,0,4,1,4,9,7,"outjabm",9,"5","30bbbcd7d508a99bcdc6eed323777b0a218c5764.csv"
"108",12,81623,"cd",2,10,15.7766892352444,0,0,3,2,3,9,7,"outjabm",9,"5","30bbbcd7d508a99bcdc6eed323777b0a218c5764.csv"
"109",13,81631,"cd",2,1,7.83264832441908,0,0,2,1,2,9,7,"outjabm",9,"5","30bbbcd7d508a99bcdc6eed323777b0a218c5764.csv"
"110",14,81638,"cd",2,7,16.3969048692304,0,0,5,1,5,9,7,"outjabm",9,"5","30bbbcd7d508a99bcdc6eed323777b0a218c5764.csv"
"111",15,81648,"cd",2,5,13.4807008380172,0,0,4,1,4,9,7,"outjabm",9,"5","30bbbcd7d508a99bcdc6eed323777b0a218c5764.csv"
"112",1,102569,"ud",2,2,10.8488437019492,2,0,0,0,3,9,7,"outjabm",10,"6","f8c93126c72ff98d3bf4def4b6fe178a76fa83ba.csv"
"113",2,102581,"ud",2,1,7.90091027106588,2,0,0,0,3,9,7,"outjabm",10,"6","f8c93126c72ff98d3bf4def4b6fe178a76fa83ba.csv"
"114",3,102590,"ud",2,4,5.5549175758657,1,0,0,0,2,9,7,"outjabm",10,"6","f8c93126c72ff98d3bf4def4b6fe178a76fa83ba.csv"
"115",4,102599,"ud",2,3,4.64354685781075,1,0,0,0,2,9,7,"outjabm",10,"6","f8c93126c72ff98d3bf4def4b6fe178a76fa83ba.csv"
"116",5,102608,"ud",2,5,10.7123708744212,2,0,0,0,3,9,7,"outjabm",10,"6","f8c93126c72ff98d3bf4def4b6fe178a76fa83ba.csv"
"117",6,102439,"cd",2,3,8.19363112051821,0,0,2,1,2,9,7,"outjabm",10,"6","f8c93126c72ff98d3bf4def4b6fe178a76fa83ba.csv"
"118",7,102446,"cd",2,4,12.8270880722209,0,0,3,1,3,9,7,"outjabm",10,"6","f8c93126c72ff98d3bf4def4b6fe178a76fa83ba.csv"
"119",8,102454,"cd",2,8,22.4292956242907,0,0,5,1,5,9,7,"outjabm",10,"6","f8c93126c72ff98d3bf4def4b6fe178a76fa83ba.csv"
"120",9,102464,"cd",2,2,8.03905083073397,0,0,2,1,2,9,7,"outjabm",10,"6","f8c93126c72ff98d3bf4def4b6fe178a76fa83ba.csv"
"121",10,102471,"cd",2,9,21.6676257363684,0,0,6,1,6,9,7,"outjabm",10,"6","f8c93126c72ff98d3bf4def4b6fe178a76fa83ba.csv"
"122",11,102482,"cd",2,6,18.6928932664576,0,0,4,1,4,9,7,"outjabm",10,"6","f8c93126c72ff98d3bf4def4b6fe178a76fa83ba.csv"
"123",12,102491,"cd",2,10,15.7766892352444,0,0,3,2,3,9,7,"outjabm",10,"6","f8c93126c72ff98d3bf4def4b6fe178a76fa83ba.csv"
"124",13,102499,"cd",2,1,7.83264832441908,0,0,2,1,2,9,7,"outjabm",10,"6","f8c93126c72ff98d3bf4def4b6fe178a76fa83ba.csv"
"125",14,102506,"cd",2,7,16.3969048692304,0,0,5,1,5,9,7,"outjabm",10,"6","f8c93126c72ff98d3bf4def4b6fe178a76fa83ba.csv"
"126",15,102516,"cd",2,5,13.4807008380172,0,0,4,1,4,9,7,"outjabm",10,"6","f8c93126c72ff98d3bf4def4b6fe178a76fa83ba.csv"
